driverId,name,ssn,location,certified,wage-plan
10,Joseph Moore,347-23-4321,"56227 Ingram Causeway
East Robert, SD 29918",Y,hours
11,Erik Wilson,566-91-2847,"4951 Richardson Road Apt. 862
South Cynthia, ND 26666",Y,hours
12,Jeffrey Johnson,675-79-2723,"31486 Ellis Burgs
Fosterville, ID 25577",Y,miles
13,Jordan May,789-55-6927,"8596 Osborne Way
Georgeville, VI 60159",Y,hours
14,Robert Sampson,345-88-7260,"29716 Smith Mountain
Reidchester, PR 30761",Y,miles
15,Sara Anderson,248-93-0443,"7567 Robinson Isle
Lake Davidstad, KY 87727",Y,hours
16,David Carson,700-31-7396,"175 Angela Path Suite 188
New Thomas, GA 19353",N,miles
17,Christina Henderson,322-52-1704,"036 Carla Mount
Jimmychester, MT 78877",N,miles
18,Angela Anderson,888-94-3376,"9061 Anne Rapid Apt. 368
Evansborough, NM 39010",Y,hours
19,David Howard,467-02-3201,"781 Robert Shoals
West Ashley, SC 38580",N,hours
20,Fernando Johnson,268-36-0350,"6004 Edward Streets Suite 637
Angelaberg, SD 88663",Y,hours
21,Amber Stone,110-21-1370,"835 Mary Junction Suite 681
New Matthewside, OH 10630",Y,miles
22,Mary Zuniga,846-46-1460,"37586 Cook Forge
New Theresaside, CO 08887",N,miles
23,Kimberly Turner,621-30-5310,"003 Nicholas Fields Suite 772
South Williamville, MH 36134",N,miles
24,Travis Orozco,448-05-0757,"5133 Smith Landing
North Jameschester, HI 28292",Y,miles
25,Bradley Williams,549-81-1842,"669 Madeline Views Apt. 236
North William, UT 65966",Y,hours
26,William Drake,349-20-1549,"95725 Smith Common Apt. 542
Buchananland, PR 87995",Y,miles
27,Alexis Rivers,797-81-1403,"USS Barton
FPO AE 62851",Y,hours
28,Mark Hall,168-77-4425,"874 Ann Street Apt. 597
Grahamstad, OK 45895",N,miles
29,Monica Vargas,542-87-7935,"713 Eric Park
Port Jesse, MT 48335",Y,miles
30,Jacob Booth,611-43-7411,"837 Shannon Valleys
West Catherineview, NC 32841",Y,miles
31,Rachel Moon,762-22-3563,"USNS Novak
FPO AE 49870",Y,hours
32,Maureen Roberts,740-51-9251,"904 Jeffrey Tunnel
Gregoryhaven, MA 35871",N,miles
33,Mikayla Williams,153-95-3178,"PSC 8696, Box 6558
APO AA 38412",Y,miles
34,James Flores,174-57-1432,"193 Dyer Mall
Joannehaven, IA 04971",Y,hours
35,Sandra Lewis,436-88-7365,"59948 Shane View
Chrischester, MD 25942",Y,miles
36,Timothy Cox,819-38-1670,"9565 Porter Plain
North Donna, MT 33184",N,miles
37,Eric Campbell,752-27-6170,"46519 Barnes Cliff
Nathanview, NJ 59610",N,miles
38,Alicia Wright,100-61-1556,"0887 Kathryn Plaza Apt. 418
South Judyhaven, AS 34692",N,miles
39,Kayla Estes,305-21-9109,"64429 Nathan Villages Suite 217
North Gregory, SC 20562",Y,miles
40,Mary Fletcher,299-39-7929,"52674 Vaughn Stravenue Suite 470
East Kennethmouth, AZ 16087",Y,miles
41,Mark Johnson,191-43-2502,"5680 Gonzalez Points Suite 843
New Cristiantown, SD 13011",Y,miles
42,Michael Anderson,282-44-4793,"03108 Kimberly Springs Suite 576
Danamouth, OH 86151",N,miles
43,Edward Finley,678-41-4957,"81112 Costa Drive Apt. 403
Kevinton, WV 37206",Y,hours
44,Jesse Webb,782-45-9107,"69664 Johnson Springs Suite 541
Lichester, DC 80477",Y,miles
45,Michael Valdez,841-68-1132,"0330 Tiffany Ridges Apt. 573
East Christina, VA 83082",N,miles
46,Mandy Thompson,682-38-5711,"46119 Jennifer Land Apt. 486
Phillipsside, WV 00697",Y,miles
47,Donald Hogan,365-77-7550,"151 Morgan Way
Thompsonview, FL 07937",Y,hours
48,Scott Guerrero,269-24-7857,"234 Anthony Pines
Murraymouth, NJ 43263",Y,miles
49,Lisa Lewis,793-76-4365,"89940 Olivia Via
Kellyview, MS 13109",N,hours
